20140901,3617769725,345236642
20140902,362454259,346054154
20140903,363131475,346871463
20140904,363808795,347689033
20140905,364486088,348506460
20140906,365163323,349323894
20140907,365840662,350141343
20140908,366517883,350958849
20140909,367195234,351776305
20140910,367872383,352593795
20140911,368549592,353411141
20140912,369227045,354228640
20140913,369904187,355046133
20140914,370581469,355863576
20140915,371258667,356681103
20140916,371935973,357498569
20140917,372613375,358316052
20140918,373290646,359133519
20140919,373967757,359950803
20140920,374645187,360768444
20140921,375322469,361585770
20140922,375999710,362403239
20140923,376676842,363220788
20140924,377354286,364038267
20140925,378031487,364855696
20140926,378708797,365673158
20140927,379385931,366490590
20140928,380063342,367307941
20140929,380740660,368125421
20140930,381417878,368943022
